"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","ribonuclease P complex","GO:0030677","false","0.020293309522628904","1.6926471205266407","13","1320","5","16673","ENSG00000148688,ENSG00000100890,ENSG00000124787,ENSG00000241370,ENSG00000104356"
"GO:CC","Fanconi anaemia nuclear complex","GO:0043240","false","0.020293309522628904","1.6926471205266407","13","1320","5","16673","ENSG00000175279,ENSG00000169689,ENSG00000221829,ENSG00000158169,ENSG00000181544"
"GO:CC","WASH complex","GO:0071203","false","0.020293309522628904","1.6926471205266407","13","1320","5","16673","ENSG00000116489,ENSG00000143376,ENSG00000120860,ENSG00000136051,ENSG00000036054"
"GO:CC","chromosome, telomeric region","GO:0000781","false","0.021907150767980995","1.659414102868696","155","1320","23","16673","ENSG00000119906,ENSG00000167986,ENSG00000168496,ENSG00000133895,ENSG00000110958,ENSG00000051180,ENSG00000131652,ENSG00000132604,ENSG00000108468,ENSG00000132475,ENSG00000012061,ENSG00000115947,ENSG00000258366,ENSG00000183765,ENSG00000047315,ENSG00000113522,ENSG00000124535,ENSG00000112118,ENSG00000135336,ENSG00000161036,ENSG00000147421,ENSG00000165392,ENSG00000125676"
"GO:CC","U2 snRNP","GO:0005686","false","0.022280811845962367","1.652068988821556","25","1320","7","16673","ENSG00000163877,ENSG00000182004,ENSG00000087365,ENSG00000131876,ENSG00000115524,ENSG00000100028,ENSG00000099995"
"GO:CC","mitotic spindle","GO:0072686","false","0.022490392295071996","1.648002969193129","174","1320","25","16673","ENSG00000116213,ENSG00000117505,ENSG00000047410,ENSG00000138182,ENSG00000138160,ENSG00000137497,ENSG00000149273,ENSG00000135476,ENSG00000088986,ENSG00000176476,ENSG00000108262,ENSG00000094804,ENSG00000108773,ENSG00000152240,ENSG00000257103,ENSG00000068903,ENSG00000042493,ENSG00000088325,ENSG00000159873,ENSG00000013810,ENSG00000214367,ENSG00000113141,ENSG00000196230,ENSG00000147874,ENSG00000072501"
"GO:CC","endoplasmic reticulum subcompartment","GO:0098827","false","0.02465841147457022","1.6080349046279494","853","1320","90","16673","ENSG00000116138,ENSG00000127463,ENSG00000158006,ENSG00000215883,ENSG00000172339,ENSG00000179085,ENSG00000163463,ENSG00000160803,ENSG00000143771,ENSG00000173409,ENSG00000162885,ENSG00000086619,ENSG00000148719,ENSG00000198060,ENSG00000174915,ENSG00000134825,ENSG00000184743,ENSG00000174903,ENSG00000137522,ENSG00000118363,ENSG00000087470,ENSG00000197728,ENSG00000166598,ENSG00000213741,ENSG00000100528,ENSG00000126775,ENSG00000100568,ENSG00000072042,ENSG00000165861,ENSG00000009830,ENSG00000071537,ENSG00000170540,ENSG00000167397,ENSG00000131148,ENSG00000072849,ENSG00000133027,ENSG00000108424,ENSG00000101558,ENSG00000166562,ENSG00000125912,ENSG00000032444,ENSG00000233927,ENSG00000269058,ENSG00000105669,ENSG00000105677,ENSG00000167645,ENSG00000182264,ENSG00000240857,ENSG00000138018,ENSG00000021574,ENSG00000143947,ENSG00000115307,ENSG00000115317,ENSG00000042445,ENSG00000114988,ENSG00000115839,ENSG00000115806,ENSG00000135924,ENSG00000101464,ENSG00000070010,ENSG00000150995,ENSG00000144647,ENSG00000067560,ENSG00000065485,ENSG00000121542,ENSG00000206527,ENSG00000058262,ENSG00000144867,ENSG00000168936,ENSG00000109133,ENSG00000113163,ENSG00000170464,ENSG00000169223,ENSG00000184840,ENSG00000213676,ENSG00000112473,ENSG00000157800,ENSG00000104691,ENSG00000023287,ENSG00000121039,ENSG00000164953,ENSG00000136986,ENSG00000086061,ENSG00000164976,ENSG00000107175,ENSG00000023318,ENSG00000136908,ENSG00000167114,ENSG00000130985,ENSG00000124333"
"GO:CC","preribosome","GO:0030684","false","0.026867502660538358","1.5707726994452111","104","1320","17","16673","ENSG00000188976,ENSG00000053372,ENSG00000183520,ENSG00000110700,ENSG00000111615,ENSG00000134419,ENSG00000233927,ENSG00000142534,ENSG00000143947,ENSG00000055044,ENSG00000138442,ENSG00000101361,ENSG00000100029,ENSG00000087269,ENSG00000086189,ENSG00000186468,ENSG00000227057"
"GO:CC","rough endoplasmic reticulum","GO:0005791","false","0.02689745933878573","1.5702887403416799","47","1320","10","16673","ENSG00000094975,ENSG00000197728,ENSG00000213741,ENSG00000170540,ENSG00000233927,ENSG00000124214,ENSG00000058262,ENSG00000172765,ENSG00000144867,ENSG00000130985"
"GO:CC","cytoplasmic stress granule","GO:0010494","true","0.02788047576640499","1.554699819492199","79","1320","14","16673","ENSG00000198492,ENSG00000134644,ENSG00000151923,ENSG00000109832,ENSG00000108424,ENSG00000141564,ENSG00000257103,ENSG00000124214,ENSG00000124201,ENSG00000149658,ENSG00000114416,ENSG00000151247,ENSG00000106263,ENSG00000104231"
"GO:CC","MICOS complex","GO:0061617","false","0.02907191995342266","1.536526285820118","9","1320","4","16673","ENSG00000174917,ENSG00000132305,ENSG00000159685,ENSG00000106554"
"GO:CC","exon-exon junction complex","GO:0035145","false","0.02907191995342266","1.536526285820118","20","1320","6","16673","ENSG00000054118,ENSG00000166024,ENSG00000100813,ENSG00000108349,ENSG00000136450,ENSG00000125351"
"GO:CC","small-subunit processome","GO:0032040","false","0.03170302208120937","1.4988993368158274","72","1320","13","16673","ENSG00000183520,ENSG00000110700,ENSG00000111615,ENSG00000134419,ENSG00000233927,ENSG00000142534,ENSG00000143947,ENSG00000055044,ENSG00000101361,ENSG00000087269,ENSG00000086189,ENSG00000186468,ENSG00000227057"
